ID,GITHUB_ID,GITHUB_URL,USEFULL,COMMENT,PREFERED,GITHUB_OWNER_NAME,GITHUB_PROJECT_NAME,GITHUB_DESCRIPTION,GITHUB_LICENSE,GITHUB_IS_FORK,GITHUB_NR_STARGAZERS,GITHUB_NR_WATCHERS,GITHUB_NR_FORKS,GITHUB_NR_OPEN_ISSUES,GITHUB_REPO_CREATION_DATE,GITHUB_LANGUAGE,GIT_PULL_HASH,GIT_PULL_DATE,GIT_NR_COMMITS,GIT_NR_COMMITTERS,GIT_FIRST_COMMIT_DATE,GIT_LAST_COMMIT_DATE,PROCESSED,
481,21417,https://github.com/acangiano/ruby-benchmark-suite,0,Ruby testsuite,,acangiano,ruby-benchmark-suite,A set of Ruby benchmarks for testing Ruby implementations.,mit,0,162,162,20,1,2008-06-01,C,314ae79f97110a6ee1248dcdf2c4ac2ee4778dec,2017-11-24,222,14,2008-06-02,2013-11-15,0,
608,25721,https://github.com/drogus/apache-upload-progress-module,0,plugin for apache,,drogus,apache-upload-progress-module,Upload progress module for apache,mit,0,154,154,25,5,2008-06-16,C,2d8903e4a0aca2bc769875d89408b406899b9c86,2017-11-24,145,14,2008-06-16,2016-07-27,0,
344,37561,https://github.com/chipx86/gtkparasite,0,gtk debugging tool,,chipx86,gtkparasite,A utility similar to Firebug but for GTK+ applications.,mit,0,183,183,33,5,2008-07-27,C,445cd7a0fb6407b2bc1f979ec11d5e57da80df22,2017-11-24,90,9,2008-07-27,2013-12-30,0,
531,129521,https://github.com/mmower/spike,0,objc,,mmower,spike,Tool for exploring rails application log files.,mit,0,159,159,5,5,2009-02-15,C,26efe640c18166c5c85e6fe13e9b08c3615b9773,2017-11-24,61,3,2009-02-15,2011-03-21,0,
201,146167,https://github.com/tyler/trie,1,used library is c only,,tyler,trie,"A super fast, efficiently stored Trie for Ruby.  Uses libdatrie.",mit,0,195,195,29,15,2009-03-09,C,b749c47278c4f99eab55363a6d51625af9286e47,2017-11-24,92,7,2009-03-08,2015-08-03,0,
477,160997,https://github.com/apache/apr,1,"abstraction of platform library, contains some functions which can be benchmarked",,apache,apr,Mirror of Apache Portable Runtime,apache-2.0,0,163,163,94,4,2009-03-27,C,008ce98b5327ea8fdfbfdca26dc761c4dc4cc4d9,2017-11-24,8559,71,1999-08-17,2017-11-05,0,
542,173675,https://github.com/xorg62/wmfs,0,x11 dependency,,xorg62,wmfs,"Window Manager From Scratch, A tiling window manager highly configurable.",bsd-3-clause,0,159,159,30,32,2009-04-11,C,3c701a9b349980034ffdbbc3e46664c5e24b37e4,2017-11-24,400,16,2011-06-22,2013-08-14,0,
158,228144,https://github.com/face/MongooseDaemon,0,objc,,face,MongooseDaemon,An objective-c wrapper for embedding the mongoose http web server in iPhone apps,bsd-3-clause,0,199,199,44,5,2009-06-15,C,453b199591ee88c484c425deb27270e563ef9ce9,2017-11-24,5,2,2009-06-16,2009-10-29,0,
303,327499,https://github.com/lloyd/orderly,1,"has ruby tests, but remaining part looks ok",,lloyd,orderly,The reference implementation of orderly: a schema language for JSON.,bsd-3-clause,0,187,187,20,8,2009-10-05,C,8e1362578b6d50a61112b3dcbceebaec81c4b004,2017-11-24,277,5,2009-10-05,2010-03-01,0,
472,328597,https://github.com/nitlang/nit,1,has included benchmarks,1,nitlang,nit,Nit language,apache-2.0,0,163,163,57,181,2009-10-06,C,1b1706eed1a31f4d1c3ef48e184e50ec2e0f7741,2017-11-24,10794,39,2008-07-09,2017-11-13,0,
268,333999,https://github.com/leafo/aroma,0,"dependency on opengl, lua",,leafo,aroma,"a game engine: lua, opengl es 2.0, native client",mit,0,190,190,16,7,2009-10-11,C,511d6892e239e45163b2a7743fa8da290e726b38,2017-11-24,210,3,2009-10-11,2012-09-03,0,
122,363669,https://github.com/michaelforney/velox,0,window manager,,michaelforney,velox,velox window manager,mit,0,171,171,9,12,2009-11-06,C,0b1d3d62861653d92d0a1056855a84fcef661bc0,2017-11-23,431,3,2009-10-31,2017-07-04,0,
491,462514,https://github.com/rigtorp/ipc-bench,1,benchmark for unix ipc,1,rigtorp,ipc-bench,Latency benchmarks of Unix IPC mechanisms,mit,0,162,162,76,2,2010-01-07,C,b1ce1b74615761b485ca758025788959d2518b95,2017-11-24,29,7,2010-01-07,2016-12-23,0,
315,487733,https://github.com/koanlogic/libu,1,platform independent library,,koanlogic,libu,"LibU is a multiplatform utility library written in C, with APIs for handling memory allocation, networking and URI parsing, string manipulation, debugging, and logging in a very compact way, plus many other miscellaneous tasks",bsd-3-clause,0,186,186,50,0,2010-01-25,C,d6d6c3a73500d9e06e8a18d68d59636ccb1e8760,2017-11-24,819,8,2005-09-23,2012-04-16,0,
615,507969,https://github.com/mm2/Little-CMS,0,color profile management,,mm2,Little-CMS,"A free, open source, CMM engine. It provides fast transforms between ICC profiles.",mit,0,154,154,62,18,2010-02-08,C,7e8fd03caab837c3be1ed3e256ab18f45a384165,2017-11-24,438,25,2010-02-08,2017-11-12,0,
522,662310,https://github.com/todbot/arduino-serial,0,requires hardware access,,todbot,arduino-serial,"Example C and Java host code to talking to an arduino or other ""serial"" device",mit,0,160,160,64,10,2010-05-12,C,e5958dc3bfd44a303456ff22da53974424da646d,2017-11-24,15,5,2010-05-11,2015-10-28,0,
